	UPOS_parent	DEPREL_child	UPOS_child	direction	counts	surface_order_parent/child_forms	arabic_example	example_freq		Final	Nizar-Grammar	in paper		100.00%								
287	NOM	SBJ	PRT	P-C	146	SHyH ... >n	صحيح ... أن	15		OK	OK		صحيح أن موازنة الدولة هي في عجز , و+ لكن اللجوء إلى فرض ضرائب جديدة , مباشرة و+ غير مباشرة , لن يؤمن الحل المنشود .									
307	PRT#	MOD	PRT	C-P	144	<lA ... b+	إلا ... ب+	23		OK	OK		و+ أضاف " أول ترجمة ل+ مثل هذا الدعم لا تكون إلا ب+ قطع العلاقات الدبلوماسية و+ كل أشكال التبادل مع إسرائيل و+ مقاطعة إسرائيل على أوسع نطاق اقتصاديا " .									
169	PRT#	MOD	PNX-AB	P-C	142	b+ ... "	ب+ ... "	67		NO WAY	OK		و+ انتقد أنصاري الذي أوردت تصريح +ه وكالة الأنباء الإيرانية الرسمية المحافظين متهما إيا +هم " ب+ عرقلة عمل الحكومة " مضيفا " يجب أن +لا ننسب كل شيء إلى الأعداء الخارجيين " من دون أن يعطي أي تفاصيل أخرى .									
209	NOM	MOD	PROP	C-P	150	* ... f}p	ذ ... فئة	14		OK	#N/A		ذ فئة بطيئي التعلم :									
187	PNX-A	MOD	PNX-B	P-C	22	( ... )	( ... )	14		NO WAY	#N/A		و+ يعتبر " فوكس تيليفيجين " أكبر رابع شبكة تلفزيون أميركية , إلى جانب أي . بي . سي ( مجموعة والت ديزني ) , و+ إن . بي . سي ( جنرال إليكتريك ) و+ سي . بي . إس ( فياكوم ) . و+ يمتلك أيضا قناة إخبارية متواصلة تحمل اسم " فوكس نيوز " تنافس شبكة سي . إن . إن في الولايات المتحدة .									
213	NOM	SBJ	PROP	C-P	137	Alqds ... EASmp	القدس ... عاصمة	3		OK	OK		و+ تعتبر إسرائيل القدس " عاصمة +ها الموحدة التي لا يمكن تقسيم +ها " فيما يريد الفلسطينيون الشطر الشرق ل+ المدينة الذي ضمة +ه إسرائيل عام 1967 عاصمة ل +هم .									
82	PRT	MOD	NOM	C-P	226	rgm ... <n	رغم ... إن	13		NO WAY	#N/A		و+ رغم أن الأهلي واجه العديد من المشكلات بين اللاعبين و+ إدارة الكرة عبر تاريخ +ه , ف+ إن +ها لم تحرج إدارة النادي إلى هذا الحد و+ تمت معالجة +ها وفق المباديء التي يسير على +ها , لكن الأحداث الأخيرة تجاوزت الأطر العادية و+ كانت نتائج +ها سلبية و+ أخذت اهتماما كبيرا لدى القاعدة الجماهيرية العريضة ل+ النادي حتى أن +ها حازت اهتمام الشارع العربي الذي تابع ب+ اهتمام ما يحصل داخل جدران القلعة الحمراء .									
141	PRT#	MOD	PNX-A	C-P	31	( ... b+	( ... ب+	13		OK	#N/A		نيويورك ( الأمم المتحدة ) 15-9 ( أف ب ) - أعلنت مصادر أميركية و+ من الأمم المتحدة أن وزيرة الخارجية الأميركية مادلين أولبرايت و+ نظير +ها الإيراني كمال خرازي س+ يلتقيان ل+ المرة الأولى مساء اليوم الجمعة ( ب+ التوقيت المحلي ) ب+ مناسبة اجتماع حول أفغانستان .									
69	PROP	IDF	NOM	P-C	127	>ylwl ... 2001	أيلول ... 2001	4		OK	OK		ب+ غض النظر عن محتوى المناقشات في جلسات +ها , و+ عن فعالية ما س+ تتخذ +ه من توصيات و+ قرارات , ف+ إن " إعلان بيروت " الذي س+ تصدر +ه القمة ختاما ل+ أعمال +ها يوم الأحد المقبل س+ يكون ب+ التأكيد أفضل شهادة أو ب+ الأحرى أفضل وصية ل+ العصر , الذي بدأ يكتب ب+ ذهنية جديدة من الغطرسة و+ التهور منذ 11 أيلول 2001 .									
144	VRB	MOD	PNX-A	P-C	125	>Etqd ... (	أعتقد ... (	6		NO WAY	OK		و+ أضاف " أعتقد أن +هم ( الروس ) يدركون أن +نا مستعدون ل+ مساعدة +هم , لكن ( ... ) ب+ ما أن في حوزة +هم الآن وسائل الإنقاذ ف+ س+ يقومون ب+ العمل على طريقة +هم . و+ نحن نبقى مستعدين ل+ القيام ب+ كل ما نستطيع +ه إذا ما وجهوا إلى +نا طلبا في هذا الصدد " .									
350	PRT#	MOD	PRT#	C-P	124	w+ ... l+	و+ ... ل+	48		OK	OK		و+ اعترف الضاهر و+ هو أيضا رئيس مجلس إدارة المؤسسة اللبنانية ل+ الإرسال " إل . بي . سي " التي تملك حقوق النقل الأرضي ل+ مباريات البطولة ب+ وجود بعض التأخير و+ قال في حديث ل+ وكالة فرانس برس : " لا شك أن الأعمال , و+ ل+ أسباب خارجة عن إرادة فرقاء عدة , تأخرت نحو ثلاثة أشهر , ف+ هذه الأعمال التي بدأت قبل نحو أسبوعين كان مفترضا أن تنطلق في أيار / مايو الماضي " .									
135	NOM	MOD	PNX-A	P-C	123	7-6 ... (	7-6 ... (	6		NO WAY	OK		إنديانابوليس ( الولايات المتحدة ) 15-8 ( أ ف ب ) - بلغ المغربي يونس العيناوي المرحلة الثانية من دورة إنديانابوليس الأميركية الدولية ل+ كرة المضرب البالغة جوائز +ها 800 ألف دولار ب+ فوز +ه على السويدي توماس يوهانسون 7-6 ( 7-4 ) و 6-4 .									
94	PRT#	SBJ	NOM	C-P	123	*lk ... b+	ذلك ... ب+	26		OK	OK		و+ أثناء اجتماع +هم في 12 أيلول / سبتمبر , بحث رؤساء أركان الجيوش في دول مجلس التعاون الخليجي في " تطوير قوة درع الجزيرة الخليجية المشتركة و+ ذلك ب+ تشكيل فرقة عسكرية حجم أفراد +ها 22 ألف عسكري ( عدد قوات درع الجزيرة حاليا يبلغ خمسة ألاف رجل ) تدعم +ها مختلف أنواع الأسلحة البرية و+ الجوية و+ البحرية " .									
385	PROP	MOD	VRB	P-C	116	$Arwn ... yEln	شارون ... يعلن	2		OK	OK		القوى الإسلامية لا يمكن +ها منع أحد من ممارسة قناعات +ه في اللعبة السياسية , بيد أن وفاء +ها ل+ دماء الشهداء يمنع +ها من قبول استثمار +ها مع مجرم مثل شارون يعلن ليل نهار لاءات +ه حيال المفاوضات النهائية , فيما يواصل تهديدات +ه ب+ قتل " الإرهابيين " إذا لم يودعوا السجون .									
113	VRB-PASS	SBJ	NOM	C-P	112	Alrjl ... AxtTf	الرجل ... اختطف	3		OK	OK		و+ قالت الوزارة في بيان " هذا الرجل , و+ هو من عناصر الاحتياط في الجيش , اختطف في عملية إرهابية في الخارج حيث اعتبر مفقودا " .									
95	PRT#	SBJ	NOM	P-C	107	l+ ... >bd	ل+ ... أبد	21		OK	OK		86 . غير أن +ه ل+ أبد أن يكون هناك أسلوب ديبلوماسي ل+ صياغة مثل هذه الأفكار ب+ طريقة لا تمنع الديبلوماسية في +ها جورج الابن من فهم الرسالة .									
330	ROOT	---	PRT#	P-C	106	--- ... l+	--- ... ل+	60		OK	OK											
310	PRT#	PRD	PRT	P-C	21	l+ ... mn	ل+ ... من	13		NO WAY	#N/A		و+ ل+ الدقة , ل+ أبد من القول ب+ أن السياسة الأمريكية في المنطقة لا تقوم على الكذب وحد +ه , بل تضيف إلى +ه التمويه و+ التهديد و+ الوعيد المضمر . كان هذا في الماضي القريب . أما الآن , و+ في إطار حرب شارون على الإرهاب الفلسطيني , ظهرت المواقف الأمريكية إلى العلن . الرئيس عرفات في هذه المرحلة ليس , ك+ ما يقول أقطاب الإدارة , ب+ ما في +هم الرئيس بوش , أكثر من مسؤول عن الأمن الإسرائيلي في الأراضي المحتلة . و+ إذا ما رفض ذلك , ف+ إن إسرائيل تملك الحق في إسقاط +ه , أو اغتيال +ه , و+ إسقاط السلطة الفلسطينية مع +ه , و+ ذلك دفاعا عن نفس +ها . من هنا لم يجد عرفات بدا من طلب المزيد من الوقت ل+ القيام ب+ تلك المهمة . و+ إذا كان هذا ما انتهى إلى +ه مصير رئيس الدولة الفلسطينية المنتظرة , ف+ أين هي عملية السلام التي يتم الحديث عن +ها .									
34	VRB	MOD	#PRT	C-P	88	+mA ... kAn	+ما ... كان	11		OK	#N/A		و+ أضافت ردا على سؤال عن +ما إذا كان من المنتظر وصول مفاوضين إسرائيليين إلى مصر في الأيام القادمة " لا علم ل +نا ب+ ذلك " .									
74	PROP	SBJ	NOM	C-P	103	EASmp ... Alqds	عاصمة ... القدس	5		OK	OK		و+ أضاف أن " السلام لن يعم المنطقة إلا بعد انتهاء احتلال جميع الأراضي العربية و+ المسلمة ب+ ما في +ها مرتفعات الجولان و+ استعادة الشعب الفلسطيني ل+ حقوق +ه بين +ها حق العودة إلى أرض +ه و+ ممارسة حق +ه في تقرير المصير ب+ السبل الديموقراطية و+ إقامة دولة مستقلة عاصمة +ها القدس الشريف " .									
39	#NOM	MOD	NOM	P-C	77	+nA ... jmyEA	+نا ... جميعا	11		OK	#N/A		و+ أضاف أن الوضع " س+ يؤثر على جميع البلدان الفقيرة و+ الغنية . إن +ها أزمة كبيرة و+ تطلب حلا عاجلا من +نا جميعا " .									
211	NOM	OBJ	PROP	P-C	97	AjtyAH ... Alkwyt	اجتياح ... الكويت	7		OK	OK		و+ يخضع العراق ل+ حصار دولي منذ اجتياح +ه الكويت في آب / أغسطس 1990 .									
292	PNX-B	MOD	PRT	C-P	60	ElY ... ,	على ... ,	11		NO WAY	#N/A		و+ في المباريات الأخرى , فاز أتلانتا هوكس على بورتلاند ترايل بلايزرز 99-97 , و+ ميامي هيت على تشارلوت هورنتس 89-86 بعد التمديد , و+ كليفلاند كافالييرز على غولدن ستايت و+ وريرز+ 96-86 , و+ ساكرامنتو كينغز على أورلاندو ماجيك 96-82 , و+ سياتل سوبر سونيكس على نيويورك نيكس 96-75 .									
179	VRB-PASS	MOD	PNX-AB	P-C	92	ywjd ... "	يوجد ... "	6		OK	OK		و+ ردا على سؤال ل+ وكالة فرانس برس ب+ شأن احتمال وجود مفاوضين إسرائيليين قالت متحدثة ب+ اسم السفارة الإسرائيلية في القاهرة " لا , لا يوجد مسؤولون إسرائيليون اليوم في مصر " .									
324	VRB-PASS	OBJ	PRT	P-C	56	y*kr ... >n	يذكر ... أن	11		OK	#N/A		يذكر أن ماكماهون ابتعدت ل+ مدة عام تقريبا عن المنافسات بعد أن أنجبت ولدا قبل ثلاث سنوات .									
178	VRB-PASS	MOD	PNX-AB	C-P	85	" ... tEtbr	" ... تعتبر	7		OK	OK		و+ أضاف أن " الأجواء الدولية المتوفرة الآن تعتبر مشجعة ل+ أن يصعد العراق من تحرك +ه الدبلوماسي الدولي ل+ كسب المزيد من الدعم و+ ب+ التالي تحريك قضية +ه التي مرت ب+ فترة جمود منذ أكثر من عام " .									
189	PNX-B	MOD	PNX-B	P-C	32	, ... .	, ... .	11		NO WAY	#N/A		ب+ دعوة من الجمعية , في حضور حشد من الفاعليات السياسية و+ الاقتصادية و+ التجارية و+ النقابية .									
54	NOM	TPC	NOM	C-P	82	>Hd ... <qAmp	أحد ... إقامة	2		OK	OK		لكن أهم المؤشرات إلى أن عملية السلام مجرد كذبة هو المفهوم المعتمد ل+ المفاوضات في هذه العملية , و+ الادعاء ب+ أن أحد أهداف +ها هو إقامة الدولة الفلسطينية . أول ما يلاحظ عن هذه المفاوضات أن +ها بدون هدف واضح و+ محدد , و+ ب+ دون جدول زمني محدد أيضا . هي مفاوضات مفتوحة , و+ لا نهائية , ك+ ما تريد +ها إسرائيل . الفلسطينيون لا يحتملون ذلك ل+ أن +هم يعيشون تحت ذل و+ إهانة الاحتلال منذ عقود طويلة . لكن هذا ليس مهما الآن . ما ليس مهما أيضا هو المفاوضات ذات +ها . المهم دائما هو العودة إلى طاولة المفاوضات . ليس مهما التوصل إلى اتفاق . المهم هو التوصل إلى اتفاقات مؤقتة تحفظ الاستقرار , و+ إلى ترتيبات و+ توصيات تخلق الإطار المناسب ل+ الجلوس على طاولة المفاوضات . و+ في السياق نفس +ه , السلام ليس مهما . الأهم من ذلك هو عملية السلام . من هنا فقدت مفاوضات عملية السلام طبيعة +ها السياسية , و+ تحولت إلى عملية ابتزاز مكشوف ل+ الأطراف العربية , و+ ب+ الذات ل+ الطرف الفلسطيني .									
188	PNX-AB	MOD	PNX-B	P-C	14	" ... .	" ... .	10		NO WAY	#N/A		ذ ثانيا : لم يكتشف ياسر عرفات شيئا عند +ما قال أن قرار الليكود يشكل نسفا ل+ اتفاق أوسلو , ف+ قد سبق +ه وزراء و+ محللون إسرائيليون في شن حملة قوية ضد هذا القرار , لكن +ه كشف عن جانب جديد من التنازلات عند +ما أبلغ محطة " . . " التلفزيونية حرفيا : " نحن نأمل أن نرى الدولة الفلسطينية المستقلة إلى جانب دولة إسرائيل اليهودية " .									
207	NOM	---	PROP	P-C	364	Efyfp ... krm	عفيفة ... كرم	9		NO WAY	#N/A		" عفيفة كرم " ل+ بربارة بدوي قصة قلم نسائي في الصحافة المهجرية									
89	PRT	TPC	NOM	C-P	68	Al<xwAn ... lA	الإخوان ... لا	2		OK	OK		فجرت النيابة العسكرية المصرية مفاجأة كبيرة , خلال مرافعة +ها في قضية متهم في +ها 22 من قادة " الإخوان " . و+ أعلن ممثل النيابة في جلسة عقدت يوم 28 / 1 الحالي و+ استمرت حتى المساء أن " الإخوان لا علاقة ل +هم ب+ العنف " , و+ اعتبر ذلك " احقاقا ل+ الحق " , لكن +ه طالب ب+ إنزال أقصى العقوبة ب+ جميع المتهمين , بعد +ما كشف عن وثائق تؤكد انتماء +هم إلى " الإخوان المسلمين " , لافتا إلى أن العمل التنظيمي ل+ الجماعة محظور قانونا .									
339	PNX-B	MOD	PRT#	C-P	53	l+ ... .	ل+ ... .	9		NO WAY	#N/A		شكرا ل+ وزير الداخلية و+ البلديات إلياس المر الذي أحيا هذا المشروع ب+ عرض +ه على مجلس الوزراء .									
202	VRB-PASS	MOD	PNX-B	C-P	67	, ... qtl	, ... قتل	6		NO WAY	OK		و+ قبل عامين , قتل 1082 شخصا في أكبر انفجار ل+ أنبوب نفط خلال محاولات سحب النفط من +ه .									
109	VRB-PASS	MOD	NOM	C-P	66	nZrA ... ysmH	نظرا ... يسمح	3		OK	OK		و+ نظرا إلى عدم تسليم إدارة الجمارك الأوراق و+ المستندات اللازمة لم يسمح ل +ها ب+ التلبيص حتى صباح الاثنين في 11 الجاري .									
181	ROOT	---	PNX-B	P-C	62	--- ... .	--- ... .	33		OK	OK											
425	PRT	MOD	VRB-PASS	P-C	62	<n ... tEqd	إن ... تعقد	3		OK	OK		إن +ها تعقد و+ على الأرض العربية جيوش أجنبية ك+ الجيش الأميركي و+ لا بد من أن ينعكس هذا الوجود على سياسة هذه الدول و+ على قرارات +ها السياسية و+ الاقتصادية و+ غير +ها .									
239	PRT	MOD	PROP	P-C	33	mn ... >ylwl	من ... أيلول	9		OK	#N/A		كوالالمبور 15-8 ( أ ف ب ) - سحبت اليوم الثلاثاء في كوالالمبور قرعة نهائيات بطولة آسيا التاسعة في كرة القدم ل+ الناشئين ( دون 16 سنة ) التي تستضيف +ها فيتنام من 3 إلى 17 أيلول / سبتمبر المقبل في مدينة دانانغ .									
295	PROP	MOD	PRT	C-P	59	Al ... <m	ال ... إم	6		OK	OK		و+ قمع ال إم . تي . في .									
293	PNX-B	MOD	PRT	P-C	18	, ... <lA	, ... إلا	8		NO WAY	#N/A		141 . و+ على رغم الأهمية المعنوية - السياسية ل+ انعقاد القمة الطارئة في القاهرة , إلا أن +ها لم تقدم تقويما حقيقيا إستراتيجيا ل+ عملية السلام , و+ لم تبلور رؤية جديدة أكثر تفصيلا و+ تحديدا ل+ مشاريع التسوية .									
382	PROP	---	VRB	P-C	172	rymwn ... >dh	ريمون ... أده	7		NO WAY	#N/A		يوم +ها قامت إسرائيل ب+ قصف ورشة أعمال التحويل التي توقفت , و+ لم يتوقف ريمون أده , رحم +ه الله , منذ ذلك التاريخ عن التركيز على أهمية الماء ك+ عنصر أساسي في الصراع مع العدو الإسرائيلي , و+ ك+ ثروة طبيعية تريد إسرائيل سرقة +ها .									
341	PROP	MOD	PRT#	C-P	56	l+ ... kAn	ل+ ... كان	2		OK	OK		ذ خامسا : يقول العاهل الأردني أن +ه حمل إلى واشنطن رسالة ملحة ( لاحظ كلمة ملحة ) تقول أن المنطقة في حاجة إلى تدخل خارجي ل+ حل النزاع الفلسطيني - الإسرائيلي و+ أن على واشنطن استبدال سياسة " إدارة النزاع " ب+ سياسة " إنهاء النزاع " . . . إن هذه الرسالة الملحة تدعو +نا إلى استذكار ذلك الزمن عند +ما كان العرب يعارضون أي تدخل أميركي في النزاع خوفا من الانحياز إلى إسرائيل , و+ ل+ كان هذا الانحياز قد انتهى الآن !									
45	NOM	---	NOM	P-C	138	AltAsE ... E$r	التاسع ... عشر	7		OK	#N/A		عفيفة كرم هي أول كاتبة صحافية من لبنان و+ العالم العربي انطلقت في المهجر أواخر القرن التاسع عشر و+ مطلع القرن العشرين , لكن اسم +ها كاد يطوي +ه النسيان لولا الجهد الذي بذلت +ه على مدى أربعة أعوام و+ نصف الدكتورة بربارة بدوي منقبة في العليات و+ الصناديق و+ متنقلة بين الجامعات الكبرى في لبنان و+ الولايات المتحدة الأميركية منقبة عن مسار حياة ابنة بلدة +ها عمشيت , و+ لم تنثن أمام العراقيل الجمة التي واجهت +ها , بل بحثت في أكثر من مئة مرجع بين كتاب و+ مجلة و+ مخطوط , " بعض هذه الكتب أتى مصفرا مغبرا مهترئا من عليات بعض " علية القوم " في عمشيت أو من مكتبات الجامعات في لبنان أو الولايات المتحدة الأميركية , و+ أكثر +ه عبثت ب +ه يد الزمن و+ هتكت حبر +ه و+ ورق +ه معا " .									
140	PRT	MOD	PNX-A	P-C	53	<n ... (	إن ... (	19		NO WAY	OK		و+ تابع المسؤول اليوناني الذي استقبل المسؤول الفلسطيني في هيدرا حيث يمضي إجازة +ه " إن نهاية سعيدة ل+ المفاوضات بين الإسرائيليين و+ الفلسطينيين قبل الإعلان س+ تكون ب+ الطبع موضع ترحيب ( ... ) إلا أن +ه يحق ل+ الفلسطينيين إعلان دولة +هم حتى من دون اتفاق " مع الإسرائيليين .									
327	#NOM	MOD	PRT#	P-C	28	+h ... w+	+ه ... و+	7		NO WAY	#N/A		و+ أكدت صحيفة " الرياض " أن " الشعبين السعودي و+ الكويتي هما أكثر من يدرك حجم مأساة الشعب العراقي التي بدأت مع صدام و+ حزب +ه و+ لن تنتهي إلا إذا زال الطاغية و+ تنفس العراق مناخات جديدة ل+ الحرية و+ الكرامة الإنسانية التي تليق ب +ه و+ امتداد +ه الحضاري و+ الإنساني " .									
197	PRT#	MOD	PNX-B	C-P	15	, ... l+	, ... ل+	7		NO WAY	#N/A		و+ رأى أن +ه " إذا ارتكبت هذه اليد جريمة , ف+ ل+ أن صاحب +ها جعل +ها ترتكب +ها .									
199	PRT#	OBJ	PNX-B	P-C	12	w+ ... ,	و+ ... ,	7		NO WAY	#N/A		و+ وزعت المنتخبات العشرة المتأهلة على مجموعتين ضمت الأولى فيتنام و+ اليابان و+ الصين و+ نيبال+ و+ ميانمار , و+ الثانية , التي أطلق على +ها اسم " مجموعة الموت " , تايلاند و+ الكويت و+ عمان حاملة اللقب و+ إيران و+ بنغلادش .									
111	VRB-PASS	OBJ	NOM	P-C	47	AEtqlwA ... byn	اعتقلوا ... بين	2		OK	OK		و+ قال شهود عيان أن سبعة من أعضاء فتح اعتقلوا في قصرة جنوب نابلس , بين +هم ستة أشقاء , و+ ثلاثة آخرين في تلفيت .									
139	PRT	MOD	PNX-A	C-P	47	( ... fy	( ... في	14		OK	OK		و+ أضاف ووكر الذي أوردت تصريح +ه وكالة أنباء الأناضول التركية في ختام لقاء مع وزير الخارجية لتركي إسماعيل جيم " أنا متفائل ب+ النسبة ل+ عملية السلام ( في الشرق الأوسط ) ل+ أن الخلافات صغيرة " .									
338	PNX-AB	MOD	PRT#	P-C	11	" ... l+	" ... ل+	7		NO WAY	#N/A		و+ هتف مئات المتظاهرين " لا ل+ شرم الشيخ ل+ أن إسرائيل قتلت أطفالا و+ شيوخا " .									
371	NOM	OBJ	VRB	P-C	45	>n ... ttHwl	أن ... تتحول	2		OK	OK		و+ لم يؤكد أي من +هم أن تكون دمشق طلبت من +ه عبر جهة فلسطينية " الصمت ل أن لا تتحول سورية هدفا " .									
429	VRB	MOD	VRB-PASS	P-C	44	qAlt ... AxtTf	قالت ... اختطف	3		OK	OK		و+ قالت الوزارة في بيان " هذا الرجل , و+ هو من عناصر الاحتياط في الجيش , اختطف في عملية إرهابية في الخارج حيث اعتبر مفقودا " .									
143	VRB	MOD	PNX-A	C-P	44	( ... kAn	( ... كان	3		OK	OK		مالوري رئيس الأمن الديبلوماسي ل+ باول ( كان رئيسا ل+ الأمن في السفارة الأميركية في عوكر قبل أربعة أشهر ) و+ عقد اجتماعا مع عدد من المسؤولين في إطار التحضيرات الأمنية ل+ الزيارة .									
5	NOM	SBJ	#NOM	C-P	139	+hA ... gyr	+ها ... غير	6		NO WAY	#N/A		كما أن على معارضي أو منتقدي إجراءات الحكومة أن لا يحكموا على +ها سلفا و+ يعتبروا +ها غير مجدية , بل على +هم أن ينتظروا بضعة أشهر , ف+ إذا ثبت عدم جدوى +ها عمدوا عندئذ إلى محاسبة الحكومة و+ مساءلة +ها , و+ إذا ثبت جدوى +ها ف+ إن +هم يصبحون هم الملامون و+ المخطئون .									
407	VRB-PASS	MOD	VRB	P-C	40	Eqd ... HDr	عقد ... حضر	2		NO WAY	OK		المشكلات و+ التعديات على نهر الدامور كانت محور لقاء عقد أمس في مكتب النائب إيلي عون في بلدة الدامور حضر +ه رئيس الحزب التقدمي الاشتراكي النائب وليد جنبلاط و+ ممثل وزير البيئة رئيس مصلحة الإرشاد و+ التوعية في الوزارة أنطوان الغريب و+ ممثل وزارة الطاقة و+ المياه حسين جعفر و+ قائمقام الشوف جورج صليبي و+ أمين السر العام في الحزب التقدمي الاشتراكي شريف فياض , و+ وكيل داخلية الحزب في الشوف ناصر زيدان و+ رئيس بلدية الدامور أنطوان غفري و+ عدد من رؤساء البلديات و+ المهندسين إضافة إلى رئيسة مصلحة المحافظة على الطبيعة في وزارة البيئة لميا شمص , و+ منسقة مشروع إدارة المنطقة الساحلية في الوزارة سوسن مهدي .									
266	VRB-PASS	SBJ	PROP	P-C	39	hzm ... >zhr	هزم ... أزهر	2		OK	OK		و+ قد هزم أزهر في الانتخابات , غير أن حزب +ه حصل على 77 مقعدا من أصل 272 في الجمعية الوطنية .									
290	PNX-AB	MOD	PRT	P-C	24	" ... <lY	" ... إلى	6		NO WAY	#N/A		و+ تابعت " فوضى تكتيكية وراء الخسارة " مشيرة إلى أن " ماتشالا يهزم المنتخب السعودي ب+ أربعة " .									
24	VRB	SBJ	#NOM	C-P	37	+h ... tlqY	+ه ... تلقى	2		NO WAY	OK		و+ رفض الطيب الذي كان يتجول في أروقة فندق الرشيد مع معظم ركاب الطائرة صباح اليوم الأحد الإدلاء ب+ أي معلومات عن ظروف خطف الطائرة , موضحا " أن +ه تلقى تعليمات ب+ ذل +ك من الخطوط الجوية السعودية " .									
368	NOM	IDF	VRB	P-C	368	HAl ... tm	حال ... تم	5		OK	#N/A		و+ أضاف ياتوم " في حال تم إعلان من جانب واحد س+ تتحرك إسرائيل وفقا ل+ مصالح +ها ل+ ضمان أمن +ها و+ الدفاع عن مصالح +ها الحيوية " .									
272	PRT#	OBJ	PROP#	P-C	303	w+ ... bwls+	و+ ... بولس+	5		NO WAY	#N/A		و+ شارك أيضا الرئيسان حسين الحسيني و+ رشيد الصلح و+ الوزراء فؤاد السعد و+ مروان حمادة و+ فؤاد السنيورة و+ أسعد+ دياب و+ النواب نبيل البستاني و+ نسيب لحود و+ نعمة الله أبي نصر و+ النائب السابق كميل زيادة و+ الوزراء السابقون فؤاد بطرس و+ ميشال أده و+ عصام نعمان و+ المطارنة+ رولان أبو جودة و+ بولس+ مطر و+ إلياس عودة و+ سفراء و+ ديبلوماسيون و+ المستشار الإعلامي ل+ رئيس الجمهورية رفيق شلالا و+ الشيخ وديع الخازن و+ شخصيات .									
4	NOM	OBJ	#NOM	P-C	135	<SAbp ... +h	إصابة ... +ه	5		OK	#N/A		أصيب الرئيس أمين الجميل أمس ب+ جرح في رأس +ه إثر سقوط +ه أرضا فجأة نتيجة إصابة +ه ب+ دوار .									
214	NOM	SBJ	PROP	P-C	34	EASmp ... Alqds	عاصمة ... القدس	4		OK	OK		نحتاج , ثانيا , إلى ميثاق فلسطيني جديد , يعيد تحديد البرنامج المرحلي ل+ النضال : الانسحاب الإسرائيلي إلى حدود 4 حزيران , 1967 إقامة الدولة الفلسطينية المستقلة و+ عاصمة +ها القدس الشرقية , تثبيت حق العودة , تفكيك المستوطنات .									
191	PROP	MOD	PNX-B	C-P	34	, ... t	, ... ت	3		NO WAY	OK		بغداد 15-10 ( إف ب ) - أقلعت الطائرة السعودية المخطوفة مساء اليوم الأحد من مطار صدام الدولي في بغداد في الساعة 19 , 05 ت غ متوجهة إلى الرياض و+ من +ها إلى لندن و+ على متن +ها ركاب +ها المائة و+ أربعة , وفق ما أفاد مراسل فرانس برس .									
234	PROP#	---	PROP	P-C	103	bwls+ ... mTr	بولس+ ... مطر	5		NO WAY	#N/A		و+ شارك أيضا الرئيسان حسين الحسيني و+ رشيد الصلح و+ الوزراء فؤاد السعد و+ مروان حمادة و+ فؤاد السنيورة و+ أسعد+ دياب و+ النواب نبيل البستاني و+ نسيب لحود و+ نعمة الله أبي نصر و+ النائب السابق كميل زيادة و+ الوزراء السابقون فؤاد بطرس و+ ميشال أده و+ عصام نعمان و+ المطارنة+ رولان أبو جودة و+ بولس+ مطر و+ إلياس عودة و+ سفراء و+ ديبلوماسيون و+ المستشار الإعلامي ل+ رئيس الجمهورية رفيق شلالا و+ الشيخ وديع الخازن و+ شخصيات .									
344	PROP#	MOD	PRT#	P-C	100	bwls+ ... w+	بولس+ ... و+	5		NO WAY	#N/A		و+ شارك أيضا الرئيسان حسين الحسيني و+ رشيد الصلح و+ الوزراء فؤاد السعد و+ مروان حمادة و+ فؤاد السنيورة و+ أسعد+ دياب و+ النواب نبيل البستاني و+ نسيب لحود و+ نعمة الله أبي نصر و+ النائب السابق كميل زيادة و+ الوزراء السابقون فؤاد بطرس و+ ميشال أده و+ عصام نعمان و+ المطارنة+ رولان أبو جودة و+ بولس+ مطر و+ إلياس عودة و+ سفراء و+ ديبلوماسيون و+ المستشار الإعلامي ل+ رئيس الجمهورية رفيق شلالا و+ الشيخ وديع الخازن و+ شخصيات .									
278	#NOM	MOD	PRT	P-C	17	+mA ... lA	+ما ... لا	5		NO WAY	#N/A		و+ عن مبادرة ولي العهد السعودي الأمير عبدالله قال : " من +ما لا شك في +ه أن قومية سمو الأمير عبدالله و+ وطنية +ه و+ عروبة +ه ليست موضع مناقشة إلا أن الطريقة التي نقل عبر +ها هذا الطرح في الإعلام أو الصحافة يبدو غامضا بعض الشيء .									
242	PRT	SBJ	PROP	C-P	31	<srA}yl ... ElY	إسرائيل ... على	3		OK	OK		استبعد رئيس حزب الكتائب كريم بقرادوني " إقدام إسرائيل على أي عمل عسكري طائش يوم تدشين مشروع الوزاني " , مؤكدا أن صواريخ حزب الله س+ تنطلق ضد محطات المياه و+ المستوطنات في إسرائيل فور المساس ب+ محطة المياه اللبنانية " .									
11	PRT	MOD	#NOM	P-C	12	<n ... +h	إن ... +ه	5		OK	#N/A		إن +ه شعور مقلق فعلا أن تكون مختلفا , ينظر إلى +ك و+ كأن +ك من كوكب آخر ل+ مجرد التساؤل عن أضرار الفساد , و+ كأن +ك تميز تعفف +ك , إما ل+ أن +ك غير مستفيد و+ إما ل+ أن +ك حمار , و+ على +ك أن تختار . . .									
